time (s),\ALU_DATA_OUT\<31\>  (V),\ALU_DATA_OUT\<30\>  (V),\ALU_DATA_OUT\<29\>  (V),\ALU_DATA_OUT\<28\>  (V),\ALU_DATA_OUT\<27\>  (V),\ALU_DATA_OUT\<26\>  (V),\ALU_DATA_OUT\<25\>  (V),\ALU_DATA_OUT\<24\>  (V),\ALU_DATA_OUT\<23\>  (V),\ALU_DATA_OUT\<22\>  (V),\ALU_DATA_OUT\<21\>  (V),\ALU_DATA_OUT\<20\>  (V),\ALU_DATA_OUT\<19\>  (V),\ALU_DATA_OUT\<18\>  (V),\ALU_DATA_OUT\<17\>  (V),\ALU_DATA_OUT\<16\>  (V),\ALU_DATA_OUT\<15\>  (V),\ALU_DATA_OUT\<14\>  (V),\ALU_DATA_OUT\<13\>  (V),\ALU_DATA_OUT\<12\>  (V),\ALU_DATA_OUT\<11\>  (V),\ALU_DATA_OUT\<10\>  (V),\ALU_DATA_OUT\<9\>  (V),\ALU_DATA_OUT\<8\>  (V),\ALU_DATA_OUT\<7\>  (V),\ALU_DATA_OUT\<6\>  (V),\ALU_DATA_OUT\<5\>  (V),\ALU_DATA_OUT\<4\>  (V),\ALU_DATA_OUT\<3\>  (V),\ALU_DATA_OUT\<2\>  (V),\ALU_DATA_OUT\<1\>  (V),\ALU_DATA_OUT\<0\>  (V)
0.000,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6
105.0E-12,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6
315.0E-12,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6
735.0E-12,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6
1.368E-9,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6
2.000E-9,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6,82.65E-6
2.002E-9,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.071E-3,1.072E-3
2.003E-9,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.837E-3,1.838E-3
2.005E-9,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.319E-3,2.320E-3,2.320E-3,2.320E-3,2.319E-3,2.320E-3,2.320E-3,2.320E-3,2.319E-3,2.320E-3,2.320E-3,2.320E-3,2.319E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.320E-3,2.321E-3
2.007E-9,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.500E-3,2.502E-3,2.502E-3,2.502E-3,2.500E-3,2.502E-3,2.502E-3,2.502E-3,2.500E-3,2.502E-3,2.502E-3,2.502E-3,2.500E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.502E-3,2.503E-3
2.008E-9,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.358E-3,2.362E-3,2.362E-3,2.362E-3,2.359E-3,2.362E-3,2.362E-3,2.362E-3,2.359E-3,2.362E-3,2.362E-3,2.362E-3,2.359E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.362E-3,2.363E-3
2.010E-9,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.948E-3,1.954E-3,1.954E-3,1.954E-3,1.948E-3,1.954E-3,1.954E-3,1.954E-3,1.948E-3,1.954E-3,1.954E-3,1.954E-3,1.948E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.953E-3,1.955E-3
2.012E-9,1.373E-3,1.373E-3,1.373E-3,1.373E-3,1.364E-3,1.373E-3,1.373E-3,1.373E-3,1.365E-3,1.373E-3,1.373E-3,1.373E-3,1.365E-3,1.373E-3,1.373E-3,1.373E-3,1.365E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.372E-3,1.374E-3
2.013E-9,653.6E-6,653.6E-6,653.6E-6,653.6E-6,642.3E-6,653.6E-6,653.6E-6,653.6E-6,643.9E-6,653.6E-6,653.6E-6,653.6E-6,643.9E-6,653.6E-6,653.6E-6,653.6E-6,643.9E-6,653.3E-6,653.3E-6,653.3E-6,653.3E-6,653.3E-6,653.3E-6,653.3E-6,653.3E-6,653.4E-6,653.3E-6,653.4E-6,653.3E-6,653.4E-6,653.3E-6,654.5E-6
2.015E-9,-144.3E-6,-144.3E-6,-144.3E-6,-144.3E-6,-158.7E-6,-144.3E-6,-144.3E-6,-144.3E-6,-156.6E-6,-144.3E-6,-144.3E-6,-144.3E-6,-156.6E-6,-144.3E-6,-144.3E-6,-144.3E-6,-156.6E-6,-144.7E-6,-144.7E-6,-144.7E-6,-144.7E-6,-144.7E-6,-144.7E-6,-144.7E-6,-144.6E-6,-144.6E-6,-144.6E-6,-144.6E-6,-144.6E-6,-144.6E-6,-144.6E-6,-143.9E-6
2.017E-9,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.183E-3,-1.165E-3,-1.165E-3,-1.165E-3,-1.180E-3,-1.165E-3,-1.165E-3,-1.165E-3,-1.180E-3,-1.165E-3,-1.165E-3,-1.165E-3,-1.180E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3,-1.166E-3
2.018E-9,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.231E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.228E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.228E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.228E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.211E-3,-2.212E-3
2.020E-9,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.288E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.284E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.284E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.284E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.267E-3,-3.268E-3
2.022E-9,-5.038E-3,-5.038E-3,-5.038E-3,-5.038E-3,-5.058E-3,-5.038E-3,-5.038E-3,-5.038E-3,-5.055E-3,-5.038E-3,-5.038E-3,-5.038E-3,-5.055E-3,-5.038E-3,-5.038E-3,-5.038E-3,-5.055E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.039E-3,-5.040E-3
2.024E-9,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.673E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.669E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.669E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.669E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.656E-3,-6.659E-3
2.026E-9,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.598E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.595E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.595E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.595E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.586E-3,-7.589E-3
2.029E-9,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.639E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.638E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.638E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.638E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.644E-3,-8.648E-3
